franchise_id,team_name,team_id,location
1,Arizona Cardinals,ARZ,Arizona
2,Atlanta Falcons,ATL,Atlanta
3,Baltimore Ravens,BAL,Baltimore
4,Buffalo Bills,BUF,Buffalo
5,Carolina Panthers,CAR,Carolina
6,Chicago Bears,CHI,Chicago
7,Cincinnati Bengals,CIN,Cincinnati
8,Cleveland Browns,CLE,Cleveland
9,Dallas Cowboys,DAL,Dallas
10,Denver Broncos,DEN,Denver
11,Detroit Lions,DET,Detroit
12,Green Bay Packers,GB,Green Bay
13,Houston Texans,HOU,Houston
14,Indianapolis Colts,IND,Indianapolis
15,Jacksonville Jaguars,JAX,Jacksonville
16,Kansas City Chiefs,KC,Kansas City
17,Las Vegas Raiders,LVR,Las Vegas
18,Los Angeles Chargers,LAC,Los Angeles
19,Los Angeles Rams,LAR,Los Angeles
20,Miami Dolphins,MIA,Miami
21,Minnesota Vikings,MIN,Minnesota
22,New England Patriots,NE,New England
23,New Orleans Saints,NO,New Orleans
24,New York Giants,NYG,New York
25,New York Jets,NYJ,New York
17,Oakland Raiders,OAK,Oakland
26,Philadelphia Eagles,PHI,Philadelphia
27,Pittsburgh Steelers,PIT,Pittsburgh
18,San Diego Chargers,SD,San Diego
28,San Francisco 49ers,SF,San Francisco
29,Seattle Seahawks,SEA,Seattle
19,St. Louis Rams,STL,St. Louis
30,Tampa Bay Buccaneers,TB,Tampa Bay
31,Tennessee Titans,TEN,Tennessee
32,Washington Commanders,WAS,Washington
