season,player_id,player_name,dropbacks,total_pass_epa,epa_per_dropback,epa_per_sack,sack_epa_total,sacks_taken,epa_per_turnover,total_turnover_epa,total_turnovers,total_plays_deep,total_plays_medium,total_plays_short,total_epa_deep,total_epa_medium,total_epa_short,epa_per_play_deep,epa_per_play_medium,epa_per_play_short,total_plays_left,total_plays_middle,total_plays_right,total_epa_left,total_epa_middle,total_epa_right,epa_per_play_left,epa_per_play_middle,epa_per_play_right,total_plays_short_right,total_plays_deep_right,total_plays_deep_left,total_plays_deep_middle,total_plays_medium_left,total_plays_medium_middle,total_plays_medium_right,total_plays_short_left,total_plays_short_middle,total_epa_short_right,total_epa_deep_right,total_epa_deep_left,total_epa_deep_middle,total_epa_medium_left,total_epa_medium_middle,total_epa_medium_right,total_epa_short_left,total_epa_short_middle,epa_per_play_short_right,epa_per_play_deep_right,epa_per_play_deep_left,epa_per_play_deep_middle,epa_per_play_medium_left,epa_per_play_medium_middle,epa_per_play_medium_right,epa_per_play_short_left,epa_per_play_short_middle,dropbacks_cpoe,total_cpoe,cpoe,cpoe_attempts_deep,cpoe_attempts_medium,cpoe_attempts_short,cpoe_deep,cpoe_medium,cpoe_short,cpoe_attempts_left,cpoe_attempts_middle,cpoe_attempts_right,cpoe_left,cpoe_middle,cpoe_right,total_plays_cpoe_short_right,total_plays_cpoe_deep_right,total_plays_cpoe_deep_left,total_plays_cpoe_deep_middle,total_plays_cpoe_medium_left,total_plays_cpoe_medium_middle,total_plays_cpoe_medium_right,total_plays_cpoe_short_left,total_plays_cpoe_short_middle,cpoe_short_right,cpoe_deep_right,cpoe_deep_left,cpoe_deep_middle,cpoe_medium_left,cpoe_medium_middle,cpoe_medium_right,cpoe_short_left,cpoe_short_middle,air_yards_total,air_yards_targets,adot,air_yards_total_deep,air_yards_total_medium,air_yards_total_short,air_yards_targets_deep,air_yards_targets_medium,air_yards_targets_short,adot_deep,adot_medium,adot_short,air_yards_targets_left,air_yards_targets_middle,air_yards_targets_right,adot_left,adot_middle,adot_right,air_yards_total_left,air_yards_total_middle,air_yards_total_right,air_yards_targets_short_right,air_yards_targets_deep_right,air_yards_targets_deep_left,air_yards_targets_deep_middle,air_yards_targets_medium_left,air_yards_targets_medium_middle,air_yards_targets_medium_right,air_yards_targets_short_left,air_yards_targets_short_middle,adot_short_right,adot_deep_right,adot_deep_left,adot_deep_middle,adot_medium_left,adot_medium_middle,adot_medium_right,adot_short_left,adot_short_middle,air_yards_total_short_right,air_yards_total_deep_right,air_yards_total_deep_left,air_yards_total_deep_middle,air_yards_total_medium_left,air_yards_total_medium_middle,air_yards_total_medium_right,air_yards_total_short_left,air_yards_total_short_middle
2010,00-0000865,C.Batch,60,1.231,0.021,-1.807,-7.229,4,-2.957,-8.870747,3,20,9,19,5.814542,8.056812,-8.715038,0.29072708,0.8952014,-0.45868623,16,15,17,-2.0295796,8.862019,-1.6761242,-0.12684873,0.59080124,-0.098595545,6,7,7,6,2,3,4,7,6,-0.01837758,-3.5795264,0.28652382,9.107544,2.4261055,3.7089262,1.9217801,-4.742209,-3.954452,-0.00306293,-0.51136094,0.040931974,1.517924,1.2130527,1.2363087,0.48044503,-0.6774584,-0.6590753,48,101.00152,2.1041982,20,9,19,-5.421563,17.746887,2.6163573,16,15,17,-4.88511,14.09245,-1.8954984,6,7,7,6,2,3,4,7,6,3.59807,-15.868645,-13.610284,16.320208,35.680805,10.363917,14.317156,-7.750198,13.728959,538,48,11.20833333,476,71,-9,20,9,19,23.8,7.888889,-0.47368422,16,15,17,7.9375,11.666667,13.882353,127,175,236,6,7,7,6,2,3,4,7,6,-1.6666666,30.714285,17.285715,23.333334,8,8,7.75,-1.4285715,1.8333334,-10,215,121,140,16,24,31,-10,11
2010,00-0001545,T.Bouman,39,2.334,0.06,-2.489,-2.489,1,-5.3917885,-10.783577,2,9,9,16,1.192277,4.039343,-7.88812,0.13247521,0.44881588,-0.4930075,14,7,13,4.728997,-10.0743475,2.6888497,0.3377855,-1.4391925,0.20683458,8,2,5,2,3,3,3,6,2,-4.844519,5.9202538,0.2505597,-4.9785366,0.9701193,1.4561082,1.6131151,3.5083182,-6.5519195,-0.6055649,2.9601269,0.05011194,-2.4892683,0.3233731,0.4853694,0.537705,0.5847197,-3.2759597,33,-151.93237,-4.6040115,8,9,16,12.1878605,6.6576343,-19.334623,14,6,13,-2.127724,-7.0969644,-6.120188,8,2,5,1,3,3,3,6,2,-20.324986,66.057945,3.4545143,-51.885582,1.0765814,35.25581,-16.359488,-8.381742,-48.23182,250,34,7.352941176,189,57,4,9,9,16,21,6.3333335,0.25,14,6,13,10.142858,6.3333335,3.9230769,142,38,51,8,2,5,2,3,3,3,6,2,-0.625,18.5,23.2,18,6.6666665,6,6.3333335,1,1.5,-5,37,116,36,20,18,19,6,3
2010,00-0002110,M.Brunell,15,-0.936,-0.062,-1.291,-1.291,1,-8.146164,-8.146164,1,5,6,2,7.8228393,2.4752162,-9.766177,1.5645678,0.41253603,-4.8830886,8,1,4,10.053942,1.1296821,-10.651746,1.2567427,1.1296821,-2.6629364,1,1,3,1,4,0,2,1,0,-8.146164,-0.6332366,7.326394,1.1296821,4.3475614,0,-1.8723454,-1.6200135,0,-8.146164,-0.6332366,2.4421313,1.1296821,1.0868903,0,-0.9361727,-1.6200135,0,13,31.142544,2.3955803,5,6,2,17.57589,8.52986,-53.95803,8,1,4,24.960407,36.55541,-51.274033,1,1,3,1,4,0,2,1,0,-49.31604,-57.03447,36.119503,36.55541,37.481194,0,-49.37281,-58.600025,0,159,13,12.23076923,117,44,-2,5,6,2,23.4,7.3333335,-1,8,1,4,13.875,18,7.5,111,18,30,1,1,3,1,4,0,2,1,0,-2,14,28.333334,18,6.5,0,9,0,0,-2,14,85,18,26,0,18,0,0
2010,00-0003292,K.Collins,307,32.134,0.105,-1.729,-22.48,13,-3.498827,-41.985924,12,94,82,100,41.6487,4.4784436,-7.3852334,0.44307128,0.054615166,-0.07385233,120,57,97,36.194633,8.264196,-1.2041621,0.30162194,0.1449859,-0.012414043,41,27,47,19,36,17,29,37,21,-7.8996143,1.3805072,39.65331,3.3295028,-4.4246125,3.5881114,5.314945,0.96593827,1.3465822,-0.19267352,0.051129896,0.8436874,0.17523699,-0.1229059,0.21106538,0.18327397,0.02610644,0.06412296,271,-230.03893,-0.8488521,93,81,97,2.7695694,-4.251928,-1.4763165,120,57,94,-0.34098476,2.1995683,-3.3457031,39,27,47,19,36,17,28,37,21,-4.870609,-6.1758704,14.311638,-13.069922,-13.644889,6.1531577,1.5073624,-6.0094366,12.814296,2724,276,9.869565217,2073,557,94,94,82,100,22.053192,6.792683,0.94,120,57,94,11.141666,10,8.5,1337,570,799,41,27,47,19,36,17,29,37,21,1.2195122,20.88889,22.574469,22.631578,7.0277777,6.7058825,6.551724,0.6216216,1.2380953,50,564,1061,430,253,114,190,23,26
2010,00-0003315,T.Collins,30,-24.393,-0.813,-2.069,-4.138,2,-3.355373,-16.776865,5,8,3,16,-9.787067,-2.9448228,-8.577648,-1.2233834,-0.9816076,-0.536103,9,8,10,-3.7643666,-10.715216,-6.829955,-0.41826296,-1.339402,-0.6829955,6,3,2,3,2,0,1,5,5,-2.341723,-3.3438115,-2.342319,-4.100937,-1.8004014,0,-1.1444211,0.3783538,-6.614279,-0.39028716,-1.1146039,-1.1711595,-1.366979,-0.9002007,0,-1.1444211,0.075670764,-1.3228557,25,-455.28677,-18.211472,8,3,14,-29.56998,-42.333065,-6.5519814,9,7,9,-19.733402,-15.113939,-19.098732,5,3,2,3,2,0,1,5,4,-0.20211029,-45.971252,-32.476303,-11.231166,-47.01745,0,-32.964294,-3.7226205,-18.02602,186,27,6.888888889,160,20,6,8,3,16,20,6.6666665,0.375,9,7,9,6.6666665,11.714286,4.888889,60,82,44,6,3,2,3,2,0,1,5,5,-2,16.333334,19,24.333334,6.5,0,7,1.8,1.8,-12,49,38,73,13,0,7,9,9
2010,00-0004161,J.Delhomme,162,-40.167,-0.248,-1.7,-10.198,6,-5.2420273,-47.178246,9,40,42,66,-5.174278,-0.16495755,-32.715874,-0.12935695,-0.003927561,-0.49569505,40,37,71,-8.527422,4.9738436,-34.501534,-0.21318555,0.1344282,-0.4859371,37,18,9,13,12,14,16,19,10,-19.637346,-11.934302,-2.534359,9.294383,2.5068781,0.25804606,-2.9298816,-8.499941,-4.5785856,-0.53073907,-0.6630168,-0.28159544,0.7149525,0.20890652,0.018431861,-0.1831176,-0.4473653,-0.45785856,141,299.3323,2.122924,36,41,64,-6.150968,2.8250983,6.3271575,39,37,65,6.5910363,0.123445824,0.5802212,36,14,9,13,12,14,15,18,10,4.797454,-10.192517,-10.862402,1.4632326,15.031811,-5.160998,0.5134181,9.690573,5.779944,1119,148,7.560810811,792,280,47,40,42,66,19.8,6.6666665,0.7121212,39,37,65,6.948718,10.189189,6.230769,271,377,405,37,18,9,13,12,14,16,19,10,1.054054,19.11111,20.333334,20.384615,6.6666665,6.857143,6.5,-0.42105263,1.6,39,344,183,265,80,96,104,-8,16
2010,00-0005106,B.Favre,409,-35.332,-0.086,-1.613,-35.49,22,-4.2951627,-94.493576,22,114,97,147,29.684557,-15.762929,-27.12844,0.26039085,-0.16250442,-0.18454722,117,100,141,0.21719998,-7.6661625,-5.7578506,0.00185641,-0.076661624,-0.04083582,57,42,28,44,29,26,42,60,30,-6.612028,14.8899145,12.767202,2.027441,1.7099352,-3.4371274,-14.035737,-14.259937,-6.2564764,-0.116000496,0.35452178,0.4559715,0.046078205,0.058963284,-0.1321972,-0.33418423,-0.23766562,-0.20854922,356,-528.39844,-1.4842653,113,97,146,0.99790376,-6.2516084,-0.23805153,117,98,141,1.0749341,-5.076936,-1.1108228,57,42,28,43,29,26,42,60,29,2.0465586,4.8808928,7.916526,-7.2999325,5.5685616,-11.139113,-11.387556,-4.2897286,3.6542885,3086,358,8.620111732,2432,658,-4,114,97,147,21.333334,6.783505,-0.027210884,117,98,141,6.4102564,11.67347,8.390071,750,1144,1183,57,42,28,44,29,26,42,60,30,-0.36842105,21.785715,21.071428,21.068182,6.37931,7.076923,6.8809524,-0.41666666,1.4,-21,915,590,927,185,184,289,-25,42
2010,00-0007091,M.Hasselbeck,497,-19.057,-0.038,-2.05,-59.46,29,-4.44351,-106.64424,24,131,145,164,9.191803,45.398117,-28.191458,0.07016643,0.31309047,-0.17189914,192,74,174,23.024391,28.508951,-25.13488,0.119918704,0.3852561,-0.14445333,73,47,61,23,60,31,54,71,20,-16.504242,-18.930273,26.713968,1.4081099,16.919296,18.179184,10.299636,-20.608873,8.921658,-0.2260855,-0.40277177,0.4379339,0.06122217,0.28198826,0.5864253,0.190734,-0.29026583,0.4460829,436,-383.81815,-0.88031685,130,145,161,-4.4348373,3.261528,-1.7404399,190,73,173,4.3957634,1.4200037,-7.6455107,72,47,60,23,60,31,54,70,19,-8.234462,-9.24985,0.9377786,-8.610983,7.5981746,10.067105,-5.463874,4.6148257,-0.5456519,3812,440,8.663636364,2781,938,93,131,145,164,21.229008,6.4689655,0.56707317,190,73,173,8.489473,10.506849,8.16763,1613,767,1413,73,47,61,23,60,31,54,71,20,0.5890411,21.574469,20.311476,22.956522,6.3333335,6.516129,6.5925927,0.18309858,1.85,43,1014,1239,528,380,202,356,13,37
2010,00-0009311,J.Kitna,372,26.479,0.071,-1.546,-32.456,21,-5.026707,-75.400604,15,77,82,158,25.63545,5.964933,16.81444,0.3329279,0.07274309,0.1064205,125,77,111,19.778873,30.916769,-2.3193634,0.15823099,0.40151647,-0.020895164,57,21,37,19,15,34,33,73,24,-2.388091,0.18358225,2.5078003,22.944067,-3.4834266,9.563214,-0.11485481,20.7545,-1.5905122,-0.041896336,0.008742012,0.067778386,1.2075825,-0.23222844,0.281271,-0.003480449,0.28430822,-0.06627134,310,662.7528,2.1379123,75,82,153,-4.5375595,2.5496607,5.1895266,124,77,109,5.273726,2.3215666,-1.5591727,57,19,37,19,15,34,33,72,24,-1.242239,-16.463982,-6.847234,11.886648,-6.1138043,2.5619364,6.4749517,13.874954,-5.591314,2140,317,6.750788644,1506,579,55,77,82,158,19.558441,7.0609756,0.34810126,124,77,109,6.862903,8.688312,5.4587154,851,669,595,57,21,37,19,15,34,33,73,24,0.14035088,19.095238,19.918919,19.368422,7.8,7.1764708,6.6060605,-0.04109589,2.375,8,401,737,368,117,244,218,-3,57
2010,00-0010346,P.Manning,719,130.711,0.182,-1.172,-18.752,16,-4.425411,-92.93363,21,212,199,268,42.791363,71.75204,18.049894,0.20184605,0.360563,0.06735035,277,150,251,38.791695,44.032913,53.89562,0.14004222,0.29355276,0.21472357,99,81,79,51,82,46,71,116,53,12.073648,8.477241,14.341225,24.099834,14.216293,24.191013,33.34473,10.234178,-4.2579308,0.12195604,0.10465729,0.18153448,0.47254577,0.17336944,0.5258916,0.4696441,0.08822567,-0.080338314,678,2800.152,4.1300178,211,199,268,-1.1218079,6.1517878,6.763612,277,150,251,3.9970002,3.729908,4.5159235,99,81,79,51,82,46,71,116,53,7.6751857,-2.8941255,1.3031436,-2.0632484,-0.33669806,13.99429,8.564474,8.895086,0.39574474,5895,679,8.681885125,4315,1293,287,212,199,268,20.353773,6.4974875,1.0708956,277,150,251,8.33935,9.106667,8.776893,2310,1366,2203,99,81,79,51,82,46,71,116,53,0.7878788,20.382715,20.974684,19.431372,6.597561,6.0434785,6.6760564,0.9655172,1.8301886,78,1651,1657,991,541,278,474,112,97
